player_id,positive_drivers,negative_drivers
80293,seasons of top-5 history (+0.139); position: Defender (+0.027); goals/90 last season (+0.021); gap since last season (+0.017); minutes consistency (+0.014),age (-1.257); league context (-0.330); goal contributions per 90 (-0.222); club squad rotation (-0.132); league minutes (-0.099)
80894,seasons of top-5 history (+0.217); 3-season average minutes (+0.150); league minutes (+0.136); disciplinary record (+0.132); minutes last season (+0.109),age (-1.407); goal contributions per 90 (-0.183); league context (-0.087); goals per 90 (-0.084); 3-season average output (-0.045)
81512,seasons of top-5 history (+0.125); disciplinary record (+0.112); position: Defender (+0.052); goals per 90 (+0.048); height (+0.018),age (-1.345); gap since last season (-0.303); league minutes (-0.202); club squad rotation (-0.090); goal contributions per 90 (-0.072)
82350,seasons of top-5 history (+0.139); height (+0.103); minutes last season (+0.071); 3-season average minutes (+0.067); minutes per appearance (+0.035),age (-1.350); league minutes (-0.210); gap since last season (-0.180); goal contributions per 90 (-0.166); league context (-0.119)
82873,seasons of top-5 history (+0.167); 3-season average minutes (+0.116); goal contributions per 90 (+0.115); assists per 90 (+0.110); league minutes (+0.108),age (-1.500); league context (-0.266); height (-0.070); goals per 90 (-0.062); minutes consistency (-0.060)
84301,seasons of top-5 history (+0.178); league minutes (+0.123); 3-season average minutes (+0.106); minutes last season (+0.085); minutes per appearance (+0.075),age (-1.592); league context (-0.387); club squad rotation (-0.121); height (-0.106); goal contributions per 90 (-0.098)
84435,seasons of top-5 history (+0.196); height (+0.128); 3-season average minutes (+0.091); minutes last season (+0.088); position: Defender (+0.033),age (-1.324); league minutes (-0.226); league context (-0.206); goal contributions per 90 (-0.170); 3-season average output (-0.054)
84938,seasons of top-5 history (+0.188); 3-season average minutes (+0.112); minutes per appearance (+0.037); height (+0.032); foot: left (+0.010),age (-0.900); gap since last season (-0.336); league minutes (-0.282); league context (-0.218); goal contributions per 90 (-0.193)
85288,goal contributions per 90 (+0.922); assists per 90 (+0.195); seasons of top-5 history (+0.190); position: Midfield (+0.110); minutes last season (+0.053),age (-1.221); club squad rotation (-0.142); league minutes (-0.112); minutes consistency (-0.095); 3-season average minutes (-0.038)
85295,3-season average minutes (+0.171); seasons of top-5 history (+0.124); league context (+0.098); minutes last season (+0.090); gap since last season (+0.025),age (-1.071); league minutes (-0.264); goal contributions per 90 (-0.250); minutes per appearance (-0.085); 3-season average output (-0.075)
85393,3-season average output (+0.093); position: Midfield (+0.092); change in goals/90 (+0.038); contributions/90 last season (+0.037); output consistency (+0.027),age (-1.816); league minutes (-0.162); minutes per appearance (-0.130); league context (-0.067); 3-season average minutes (-0.061)
85906,seasons of top-5 history (+0.149); disciplinary record (+0.061); height (+0.047); minutes per appearance (+0.040); position: Defender (+0.036),age (-0.773); gap since last season (-0.222); goal contributions per 90 (-0.179); league context (-0.158); goals per 90 (-0.058)
85941,league context (+0.316); 3-season average minutes (+0.154); minutes last season (+0.107); minutes per appearance (+0.078); change in minutes (+0.050),age (-0.966); gap since last season (-0.470); league minutes (-0.245); goal contributions per 90 (-0.233); goals per 90 (-0.082)
