player_id,name,season,position,league,club_name,age,minutes,games,goal_contributions_per90,market_value_eur,log_market_value,calib_resid_all,exit_prob,exit,next_minutes,pred_eur,mispricing_ratio,exit_prob_challenger
666547,Zito Luvumbo,2024,Attack,Italy - Serie A,Cagliari Calcio,22.81724845995893,1613,26,0.2231866088034718,5000000.0,15.424948470398377,-0.6452452830170738,0.43324784465417066,1,830.0,9496226.35945334,1.8992452718906678,0.41637809973872697
667287,Yasin Ayari,2024,Midfield,England - Premier League,Brighton & Hove Albion,21.240246406570844,1968,34,0.1371951219512195,22000000.0,16.90655301132259,0.234625140749527,0.22767779900401533,0,1925.0,16832833.19192304,0.7651287814510473,0.2357349567595022
667517,Jordan James,2024,Midfield,France - Ligue 1,Stade Rennais FC,20.501026694045173,1181,23,0.0762066045723962,8000000.0,15.89495209964411,0.896849504632037,0.3496112818412805,1,0.0,3366871.609830955,0.4208589512288694,0.4447450990346613
667965,Oussama Targhalline,2024,Midfield,France - Ligue 1,Le Havre AC,22.62012320328542,994,14,0.0,4000000.0,15.201804919084164,0.21791052465708516,0.5369383944698498,1,0.0,3320418.0289836167,0.8301045072459042,0.5096054941035342
667967,Yassine Kechta,2024,Midfield,France - Ligue 1,Le Havre AC,22.85010266940452,2111,31,0.127901468498342,5000000.0,15.424948470398377,-0.7620351745248577,0.31300148559619073,0,1330.0,10617702.67866414,2.123540535732828,0.3521904861175225
668547,Máximo Perrone,2024,Midfield,Italy - Serie A,Como 1907,21.984941820670773,1860,26,0.1451612903225806,12000000.0,16.300417207752275,0.11621455184727925,0.20132178673474083,0,2750.0,10589548.8565074,0.88246240470895,0.18033203702300932
668951,Matías Soulé,2024,Attack,Italy - Serie A,Associazione Sportiva Roma,21.71663244353183,1792,27,0.5022321428571428,30000000.0,17.216707939626428,0.3220239523383106,0.09380441900980123,0,2162.0,20771127.712011598,0.6923709237337199,0.12821520220322785
669380,Konstantinos Koulierakis,2024,Defender,Germany - Bundesliga,VfL Wolfsburg,21.09514031485284,2470,30,0.0728744939271255,25000000.0,17.034386382832476,0.6098737545149104,0.07585542904739173,0,2481.0,13313392.153797463,0.5325356861518985,0.10113209289177909
670096,Tanner Tessmann,2024,Midfield,France - Ligue 1,Olympique Lyon,23.27173169062286,1229,25,0.0732302685109845,6000000.0,15.60727002719233,0.5384107654706325,0.44027097650070146,0,1954.0,3607851.401744242,0.6013085669573737,0.5376264287985786
670681,João Neves,2024,Midfield,France - Ligue 1,Paris Saint-Germain,20.26283367556468,1851,29,0.5348460291734198,80000000.0,18.197537192638155,1.54724803459444,0.04296957670415065,0,1286.0,16491768.728084097,0.20614710910105122,0.08735970184398949
670717,Dário Essugo,2024,Midfield,Spain - LaLiga,UD Las Palmas,19.802874743326488,1952,27,0.0461065573770491,20000000.0,16.811242831518264,0.8121406456223128,0.13071581182051717,1,26.0,8871284.420997096,0.4435642210498548,0.15712059032180764
670847,Mohamed-Ali Cho,2024,Attack,France - Ligue 1,OGC Nice,20.95277207392197,1636,27,0.3850855745721271,15000000.0,16.523560759066484,0.3331904866883608,0.24688242420802606,0,1681.0,10652086.807362322,0.7101391204908214,0.18389872112843955
670858,Lewis Hall,2024,Defender,England - Premier League,Newcastle United,20.314852840520192,2193,27,0.2051983584131327,30000000.0,17.216707939626428,0.15005318634295217,0.1262703992276389,0,2180.0,24416471.174609493,0.8138823724869831,0.09216137322211616
670882,Jamie Gittens,2024,Attack,Germany - Bundesliga,Borussia Dortmund,20.399726214921287,1784,32,0.6053811659192825,50000000.0,17.72753356339242,0.5940903475384371,0.09056374050664617,1,490.0,25995242.669126704,0.5199048533825341,0.12332631618781861
671594,Kamory Doumbia,2024,Midfield,France - Ligue 1,Stade Brestois 29,21.869952087611225,1319,30,0.3411675511751327,4000000.0,15.201804919084164,-0.6439602315340971,0.4712065592723608,0,1766.0,7657335.479286519,1.9143338698216297,0.4302506493992782
671915,Enzo Barrenechea,2024,Midfield,Spain - LaLiga,Valencia CF,23.61396303901437,2206,30,0.1223934723481414,10000000.0,16.11809565095832,-0.3132423611414916,0.1705885135893954,1,0.0,13400020.867088804,1.3400020867088804,0.21319829943419452
672803,Bertuğ Yıldırım,2024,Attack,Spain - LaLiga,Getafe CF,22.47501711156742,1087,22,0.0827966881324747,2000000.0,14.50865773852422,-0.4943111380208589,0.7045129645083281,1,2.0,3382927.6832200945,1.6914638416100474,0.6434472776849676
673514,Abdoulaye Ndiaye,2024,Defender,France - Ligue 1,Stade Brestois 29,22.729637234770703,1707,22,0.0527240773286467,4000000.0,15.201804919084164,-0.250070509472883,0.38019527311924217,1,780.0,5236178.249647421,1.3090445624118552,0.41147070189387464
674612,Youssouf Ndayishimiye,2024,Defender,France - Ligue 1,OGC Nice,26.18206707734429,1934,23,0.139607032057911,12000000.0,16.300417207752275,0.9325449665108136,0.16691599359676115,1,72.0,4826621.368272057,0.40221844735600476,0.20371462529253556
674806,Santiago Pierotti,2024,Attack,Italy - Serie A,US Lecce,23.74811772758385,1940,36,0.2783505154639175,4000000.0,15.201804919084164,-0.19606175015047933,0.41143850643509716,0,2616.0,4969124.169620846,1.2422810424052115,0.36527330380246786
676042,Juanlu Sánchez,2024,Defender,Spain - LaLiga,Sevilla FC,21.38261464750171,1724,32,0.4176334106728538,12000000.0,16.300417207752275,-0.001814380469301824,0.18244954712911046,0,1994.0,11851181.76101208,0.9875984800843399,0.14676260258511736
676411,Dailon Livramento,2024,Attack,Italy - Serie A,Hellas Verona,23.66324435318275,932,29,0.2896995708154506,800000.0,13.592367006650065,-1.0168156836133484,0.8364994920073849,1,0.0,2298395.183441796,2.8729939793022448,0.7390666019969298
678406,Sergi Cardona,2024,Defender,Spain - LaLiga,Villarreal CF,25.48665297741273,2955,35,0.2436548223350253,10000000.0,16.11809565095832,-0.2081300598032949,0.0860639523740818,0,1965.0,12125107.538454743,1.2125107538454742,0.12448851488867069
683840,Pedri,2024,Midfield,Spain - LaLiga,FC Barcelona,22.102669404517453,2895,37,0.2797927461139896,140000000.0,18.75715298057358,1.5912944629341612,0.02110508937673887,0,2110.0,26797123.94484487,0.19140802817746336,0.04678159785275485
683895,Emmanuel Agbadou,2024,Defender,England - Premier League,Wolverhampton Wanderers,27.54277891854894,2671,30,0.0336952452265069,20000000.0,16.811242831518264,0.25397676295516103,0.12123681869358345,0,1101.0,15101072.32758601,0.7550536163793005,0.1068286391531868
684315,Nnamdi Collins,2024,Defender,Germany - Bundesliga,Eintracht Frankfurt,20.97741273100616,1484,24,0.1212938005390835,10000000.0,16.11809565095832,0.2133056507604505,0.2599443038001085,0,1498.0,8104035.932059649,0.8104035932059649,0.2404655110998276
687609,Isaac Romero,2024,Attack,Spain - LaLiga,Sevilla FC,24.62422997946612,2171,31,0.2487333026255181,6000000.0,15.60727002719233,-0.046427402878682855,0.3318102109045565,0,1490.0,6364319.490901983,1.0607199151503306,0.30705207802340273
687626,Moisés Caicedo,2024,Midfield,England - Premier League,Chelsea FC,23.16495550992471,3356,38,0.134088200238379,90000000.0,18.31532022829454,1.1984495751549935,0.022406517905025174,0,2802.0,25594407.14966074,0.28438230166289713,0.04910582580357469
689505,Johnny Cardoso,2024,Midfield,Spain - LaLiga,Real Betis Balompié,23.28268309377139,2145,28,0.1678321678321678,25000000.0,17.034386382832476,1.228440873166928,0.1040770116218552,1,892.0,7369697.434159644,0.2947878973663858,0.09844695811256247
690799,Anthony Rouault,2024,Defender,Germany - Bundesliga,VfB Stuttgart,23.59479808350445,2185,29,0.0411899313501144,10000000.0,16.11809565095832,0.043753006131840966,0.2623980905764433,0,1723.0,9534000.392681804,0.9534000392681804,0.3175061643663954
691316,Luis Henrique,2024,Midfield,France - Ligue 1,Olympique Marseille,23.04996577686516,2622,33,0.5148741418764302,25000000.0,17.034386382832476,0.3134647690349963,0.06183288601812495,0,1621.0,17630800.844426017,0.7052320337770407,0.12737401564356307
691482,Jacopo Fazzini,2024,Midfield,Italy - Serie A,FC Empoli,21.79876796714579,1390,20,0.3237410071942446,10000000.0,16.11809565095832,-0.06731081413021389,0.2699851995953746,1,574.0,10601726.839282595,1.0601726839282595,0.2646131779608107
691786,Morgan Guilavogui,2024,Attack,Germany - Bundesliga,FC St. Pauli,26.8145106091718,1817,25,0.3962575674188222,4000000.0,15.201804919084164,-0.5827068203368215,0.41523766681033236,1,481.0,7219279.165672764,1.8048197914181912,0.3438158104972302
691841,Yanis Zouaoui,2024,Defender,France - Ligue 1,Le Havre AC,26.680355920602327,973,17,0.184994861253854,800000.0,13.592367006650065,-1.1585364514527043,0.7893185312424713,0,2350.0,2642388.27163883,3.302985339548538,0.7260447788239848
