player_id,name,position,league,club_name,age,minutes,goal_contributions_per90,market_value_eur,pred_eur,mispricing_ratio,residual,calibrated_residual,seg_unc
585700,Juan Cruz,Attack,Spain - LaLiga,CD Leganés,24.68720054757016,2265,0.3576158940397351,5000000.0,9553061.23515666,1.910612247031332,-0.6474237388778867,-0.6486151713604338,0.37904911067644154
393512,Felix Agu,Defender,Germany - Bundesliga,SV Werder Bremen,25.26488706365503,1761,0.2044293015332197,8000000.0,14596080.042245146,1.8245100052806436,-0.6013114607273113,-0.6476471499360936,0.4233984470101193
341278,Iván Martín,Midfield,Spain - LaLiga,Girona FC,25.88090349075976,2043,0.0881057268722467,6000000.0,11202823.258473862,1.867137209745644,-0.6244063539564646,-0.6420723540675326,0.4461770408809116
666547,Zito Luvumbo,Attack,Italy - Serie A,Cagliari Calcio,22.81724845995893,1613,0.2231866088034718,5000000.0,9496226.35945334,1.899245271890668,-0.641456581936815,-0.642042410429486,0.4547213607799616
671594,Kamory Doumbia,Midfield,France - Ligue 1,Stade Brestois 29,21.869952087611225,1319,0.3411675511751327,4000000.0,7657335.479286519,1.9143338698216297,-0.6493697134621197,-0.6286667892387099,0.5289156290844801
555500,Jorge Herrando,Defender,Spain - LaLiga,CA Osasuna,23.84120465434634,1364,0.0659824046920821,4000000.0,7656612.42032027,1.9141531050800675,-0.649275282036399,-0.6285632544526742,0.4716122906083466
395236,Yacine Adli,Midfield,Italy - Serie A,ACF Fiorentina,24.42710472279261,1208,0.7450331125827815,11000000.0,19019939.096101318,1.7290853723728468,-0.5475925822160228,-0.6242471954217133,0.4355277462595577
618425,Tanguy Coulibaly,Attack,France - Ligue 1,Montpellier HSC,23.86858316221766,1461,0.1848049281314168,1500000.0,3089033.104559296,2.0593554030395302,-0.7223930226887223,-0.6237800936505922,0.5384759850371825
592534,Nicolai Remberg,Midfield,Germany - Bundesliga,Holstein Kiel,24.53661875427789,2412,0.0373134328358208,3000000.0,5846150.032183458,1.948716677394486,-0.6671710417667995,-0.6212997371527162,0.3189398516478032
487843,Lorenzo Colombo,Attack,Italy - Serie A,FC Empoli,22.819986310746064,2240,0.3214285714285714,5000000.0,9316395.890584078,1.8632791781168156,-0.6223379344540803,-0.620989010161499,0.4547213607799616
602124,Alessandro Bianco,Midfield,Italy - Serie A,AC Monza,22.25325119780972,2625,0.0342857142857142,5000000.0,9312194.138143815,1.8624388276287636,-0.6218868265060244,-0.6204923542636105,0.4355277462595577
427572,Zuriko Davitashvili,Attack,France - Ligue 1,AS Saint-Étienne,23.87679671457905,2763,0.5537459283387622,10000000.0,17240325.953991845,1.7240325953991846,-0.5446660789068432,-0.6098794407523576,0.5384759850371825
469050,Nathan Collins,Defender,England - Premier League,Brentford FC,23.67419575633128,3420,0.1842105263157894,28000000.0,42916710.1952619,1.532739649830782,-0.4270567549585458,-0.6071385341682114,0.4268281384923291
460651,Antoine Makoumbou,Midfield,Italy - Serie A,Cagliari Calcio,26.458590006844627,2164,0.1247689463955637,3500000.0,6641852.017517936,1.8976720050051243,-0.6406278744033909,-0.6064453159803782,0.4355277462595577
471055,Marvin Pieringer,Attack,Germany - Bundesliga,1. Fußballclub Heidenheim 1846,25.245722108145102,2225,0.4853932584269663,5500000.0,9964389.791285297,1.8117072347791443,-0.5942696243567287,-0.599763100949265,0.4301634824676839
504153,Joe Scally,Defender,Germany - Bundesliga,Borussia Mönchengladbach,22.0041067761807,2588,0.0,10000000.0,17049146.61033726,1.704914661033726,-0.5335150573031946,-0.597443918994734,0.4233984470101193
636093,Carlos Domínguez,Defender,Spain - LaLiga,Celta de Vigo,23.887748117727583,1180,0.0,3000000.0,5716962.302265815,1.905654100755272,-0.6448253096206376,-0.5969462079870302,0.4716122906083466
617074,Ilaix Moriba,Midfield,Spain - LaLiga,Celta de Vigo,21.95208761122519,2133,0.0843881856540084,6000000.0,10620450.962153427,1.7700751603589044,-0.5710220091637961,-0.5831013213163097,0.4461770408809116
335993,Philipp Treu,Defender,Germany - Bundesliga,FC St. Pauli,24.07939767282684,2885,0.0935875216637781,5000000.0,8926078.137541944,1.7852156275083888,-0.5795392076604884,-0.5738900597840828,0.4233984470101193
461019,Samuele Birindelli,Defender,Italy - Serie A,AC Monza,25.45653661875428,1476,0.1829268292682927,2800000.0,5250398.792259446,1.875142425806945,-0.628684616967897,-0.5732627844976435,0.393297256701782
564305,Michel Adopo,Midfield,Italy - Serie A,Cagliari Calcio,24.45448323066393,2417,0.1117087298303682,4000000.0,7238427.575402092,1.809606893850523,-0.5931096359715582,-0.5670199673354981,0.4355277462595577
691786,Morgan Guilavogui,Attack,Germany - Bundesliga,FC St. Pauli,26.8145106091718,1817,0.3962575674188222,4000000.0,7219279.165672764,1.8048197914181912,-0.5904607482511661,-0.5641192747598343,0.4301634824676839
543727,Botond Balogh,Defender,Italy - Serie A,Parma Calcio 1913,22.573579739904176,2053,0.0438382854359473,2400000.0,4502809.171229998,1.876170488012499,-0.6292327249263163,-0.5606292896733094,0.393297256701782
834744,Antoniu Roca,Attack,Spain - LaLiga,RCD Espanyol Barcelona,22.32443531827516,1021,0.0881488736532811,1800000.0,3439372.166823582,1.9107623149019897,-0.6475022801819694,-0.5571071460108914,0.37904911067644154
847279,Oumar Diakité,Attack,France - Ligue 1,Stade Reims,21.03490759753593,1642,0.2740560292326431,6000000.0,10334197.091406684,1.722366181901114,-0.5436990325865434,-0.5529446883907558,0.5384759850371825
888493,Alejo Veliz,Attack,Spain - LaLiga,RCD Espanyol Barcelona,21.286789869952088,1123,0.0801424755120213,2500000.0,4607176.123382487,1.842870449352995,-0.6113243828653889,-0.5446524102482111,0.37904911067644154
